icao24,indicatif,pays_origine,derniere_position,dernier_contact,longitude,latitude,altitude_barometrique,au_sol,vitesse_sol,cap,vitesse_verticale,altitude_geometrique,source_position,horodatage
c07bc7,WJA576,Canada,1786486657,1786486657,-78.0218,46.8549,10668.0,False,269.68,111.72,0.0,10850.88,0,2026-08-11 22:17:37+00:00
a16ff1,DAL218,United States,1786486656,1786486656,-63.7821,46.0172,10668.0,False,257.54,55.99,0.33,10881.36,0,2026-08-11 22:17:37+00:00
c07e2c,ACA1074,Canada,1786486651,1786486656,-73.7454,45.4588,,True,0.0,177.19,,,0,2026-08-11 22:17:37+00:00
addaa4,IRO7408,United States,1786486657,1786486657,-69.0617,45.4079,2514.6,False,87.43,207.32,0.0,2506.98,0,2026-08-11 22:17:37+00:00
c06a69,CGOHS,Canada,1786486634,1786486634,-73.3158,45.2435,175.26,False,32.09,221.1,-1.95,106.68,0,2026-08-11 22:17:37+00:00
c06a35,CGOFS,Canada,1786486657,1786486657,-73.6797,45.796,3291.84,False,90.51,40.39,7.48,3314.7,0,2026-08-11 22:17:37+00:00
c021af,CFMTQ,Canada,1786486578,1786486584,-79.9819,45.0388,1097.28,False,68.54,73.88,1.3,1059.18,0,2026-08-11 22:17:37+00:00
c058c0,,Canada,1786486639,1786486639,-59.7467,47.9227,12489.18,False,276.98,80.49,-0.33,,0,2026-08-11 22:17:37+00:00
c058ae,ROU1987,Canada,1786486656,1786486657,-67.9307,45.9654,9745.98,False,214.65,262.84,0.0,9928.86,0,2026-08-11 22:17:37+00:00
c058d5,ACA488,Canada,1786486643,1786486643,-73.7584,45.4632,,True,8.23,236.25,,,0,2026-08-11 22:17:37+00:00
c058bf,ACA847,Canada,1786486453,1786486453,-67.4788,49.5259,12146.28,False,236.94,230.82,-4.55,12321.54,0,2026-08-11 22:17:37+00:00
c02067,MAL7054,Canada,1786486657,1786486657,-66.7023,45.382,10363.2,False,213.5,280.55,0.0,10576.56,0,2026-08-11 22:17:37+00:00
70209e,BBC306,Bangladesh,1786486656,1786486657,-70.7896,45.6886,11269.98,False,277.22,71.16,-0.33,11490.96,0,2026-08-11 22:17:37+00:00
c07a7c,JZA7968,Canada,1786486484,1786486484,-73.7442,45.4584,,True,2.31,255.94,,,0,2026-08-11 22:17:37+00:00
c07a08,CGUFN,Canada,1786486614,1786486628,-73.4036,45.5208,121.92,False,23.67,227.64,-0.33,,0,2026-08-11 22:17:37+00:00
c0344b,AIE723,Canada,1786486657,1786486657,-74.4509,46.5432,7780.02,False,204.16,183.76,-9.75,7932.42,0,2026-08-11 22:17:37+00:00
3c4a01,DLH443,Germany,1786486657,1786486657,-63.708,48.5717,11269.98,False,269.08,78.75,0.0,11422.38,0,2026-08-11 22:17:37+00:00
c038c8,ACA843,Canada,1786486657,1786486657,-75.6663,46.9581,12192.0,False,230.37,223.28,0.33,12412.98,0,2026-08-11 22:17:37+00:00
c07fb8,WJA817,Canada,1786486657,1786486657,-74.1284,45.4061,3352.8,False,151.98,273.1,11.05,3368.04,0,2026-08-11 22:17:37+00:00
c03973,CFVTQ,Canada,1786486657,1786486657,-72.2979,46.35,2209.8,False,84.5,208.75,-1.95,2179.32,0,2026-08-11 22:17:37+00:00
c06d9b,PVL7692,Canada,1786486657,1786486657,-72.5783,45.3148,7620.0,False,197.08,94.34,0.0,7818.12,0,2026-08-11 22:17:37+00:00
0200cb,RAM208M,Morocco,1786486656,1786486656,-64.8143,48.6919,12184.38,False,237.68,247.88,-0.33,12367.26,0,2026-08-11 22:17:37+00:00
c05c24,AIE833,Canada,1786486390,1786486448,-70.3344,47.3412,5372.1,False,136.82,229.42,-6.18,5425.44,0,2026-08-11 22:17:37+00:00
